Src,Dst,Time,Cost
c0,c1,19.40521837032503,15.524174696260026
c1,c0,19.40521837032503,15.524174696260026
c0,c2,12.175795661885921,9.740636529508738
c2,c0,12.175795661885921,9.740636529508738
c0,c3,15.415090009467995,12.332072007574396
c3,c0,15.415090009467995,12.332072007574396
c0,c4,19.014796869806418,15.211837495845135
c4,c0,19.014796869806418,15.211837495845135
c1,c2,14.630874888399532,11.704699910719626
c2,c1,14.630874888399532,11.704699910719626
c1,c3,9.89002022242624,7.912016177940993
c3,c1,9.89002022242624,7.912016177940993
c1,c4,9.604686356149273,7.683749084919419
c4,c1,9.604686356149273,7.683749084919419
c2,c3,17.765838004439868,14.212670403551895
c3,c2,17.765838004439868,14.212670403551895
c2,c4,8.634958019585271,6.907966415668217
c4,c2,8.634958019585271,6.907966415668217
c3,c4,17.307873930670976,13.846299144536781
c4,c3,17.307873930670976,13.846299144536781
c0,s3,11.541230437002806,2.308246087400561
s3,c0,11.541230437002806,2.308246087400561
c0,s6,4.242640687119285,0.848528137423857
s6,c0,4.242640687119285,0.848528137423857
c0,s10,7.8230428862431785,1.5646085772486358
s10,c0,7.8230428862431785,1.5646085772486358
c0,s11,11.320777358467923,2.2641554716935848
s11,c0,11.320777358467923,2.2641554716935848
c0,s18,11.64989270336856,2.3299785406737117
s18,c0,11.64989270336856,2.3299785406737117
c0,s19,5.091168824543142,1.0182337649086284
s19,c0,5.091168824543142,1.0182337649086284
c1,s1,3.4985711369071804,0.6997142273814361
s1,c1,3.4985711369071804,0.6997142273814361
c1,s2,11.462983904725679,2.2925967809451357
s2,c1,11.462983904725679,2.2925967809451357
c1,s7,5.531726674375732,1.1063453348751464
s7,c1,5.531726674375732,1.1063453348751464
c1,s13,6.997142273814361,1.3994284547628721
s13,c1,6.997142273814361,1.3994284547628721
c1,s15,7.8230428862431785,1.5646085772486358
s15,c1,7.8230428862431785,1.5646085772486358
c1,s20,10.49571341072154,2.0991426821443078
s20,c1,10.49571341072154,2.0991426821443078
c2,s4,3.794733192202055,0.7589466384404111
s4,c2,3.794733192202055,0.7589466384404111
c2,s9,7.224956747275377,1.4449913494550755
s9,c2,7.224956747275377,1.4449913494550755
c2,s14,3.0,0.6
s14,c2,3.0,0.6
c2,s16,7.022819946431775,1.404563989286355
s16,c2,7.022819946431775,1.404563989286355
c2,s21,3.0594117081556704,0.6118823416311341
s21,c2,3.0594117081556704,0.6118823416311341
c2,s22,4.242640687119285,0.848528137423857
s22,c2,4.242640687119285,0.848528137423857
c3,s8,16.714065932620944,3.3428131865241886
s8,c3,16.714065932620944,3.3428131865241886
c3,s12,4.686149805543992,0.9372299611087984
s12,c3,4.686149805543992,0.9372299611087984
c3,s17,11.462983904725679,2.2925967809451357
s17,c3,11.462983904725679,2.2925967809451357
c3,s24,5.126402247190518,1.0252804494381036
s24,c3,5.126402247190518,1.0252804494381036
c4,s0,10.252804494381037,2.050560898876207
s0,c4,10.252804494381037,2.050560898876207
c4,s5,8.357032966310472,1.6714065932620943
s5,c4,8.357032966310472,1.6714065932620943
c4,s23,1.2,0.24
s23,c4,1.2,0.24
s2,s1,19.2166594391429,1.681457700925004
s1,s2,19.2166594391429,1.681457700925004
s5,s2,21.659178193089417,1.8951780918953238
s2,s5,21.659178193089417,1.8951780918953238
s5,s4,20.567936211491908,1.799694418505542
s4,s5,20.567936211491908,1.799694418505542
s6,s3,10.119288512538816,0.8854377448471463
s3,s6,10.119288512538816,0.8854377448471463
s7,s1,9.363759928575702,0.8193289937503738
s1,s7,9.363759928575702,0.8193289937503738
s7,s2,11.142710621747296,0.9749871794028885
s2,s7,11.142710621747296,0.9749871794028885
s7,s5,19.67739820199815,1.7217723426748384
s5,s7,19.67739820199815,1.7217723426748384
s9,s4,11.892854997854805,1.0406248123122954
s4,s9,11.892854997854805,1.0406248123122954
s10,s3,21.76235281397671,1.9042058712229624
s3,s10,21.76235281397671,1.9042058712229624
s10,s6,14.75127113166862,1.2907362240210043
s6,s10,14.75127113166862,1.2907362240210043
s11,s6,17.269626515938324,1.5110923201446034
s6,s11,17.269626515938324,1.5110923201446034
s11,s10,22.880559433720148,2.002048950450513
s10,s11,22.880559433720148,2.002048950450513
s13,s1,13.623509092741124,1.1920570456148483
s1,s13,13.623509092741124,1.1920570456148483
s13,s2,14.153444810363306,1.2384264209067892
s2,s13,14.153444810363306,1.2384264209067892
s13,s7,13.600000000000001,1.1900000000000002
s7,s13,13.600000000000001,1.1900000000000002
s14,s4,4.308131845707603,0.3769615364994153
s4,s14,4.308131845707603,0.3769615364994153
s14,s9,7.589466384404111,0.6640783086353598
s9,s14,7.589466384404111,0.6640783086353598
s15,s1,11.313708498984761,0.9899494936611667
s1,s15,11.313708498984761,0.9899494936611667
s15,s2,23.255106965997815,2.034821859524809
s2,s15,23.255106965997815,2.034821859524809
s15,s7,17.762882648939616,1.5542522317822165
s7,s15,17.762882648939616,1.5542522317822165
s15,s13,10.43072384832424,0.912688336728371
s13,s15,10.43072384832424,0.912688336728371
s16,s4,10.762899237658969,0.9417536832951597
s4,s16,10.762899237658969,0.9417536832951597
s16,s5,13.193938001976514,1.154469575172945
s5,s16,13.193938001976514,1.154469575172945
s16,s9,18.829763673503713,1.647604321431575
s9,s16,18.829763673503713,1.647604321431575
s16,s14,12.899612397277679,1.128716084761797
s14,s16,12.899612397277679,1.128716084761797
s17,s1,22.655683613610076,1.9823723161908817
s1,s17,22.655683613610076,1.9823723161908817
s17,s12,17.232527382830412,1.507846145997661
s12,s17,17.232527382830412,1.507846145997661
s18,s6,19.2166594391429,1.681457700925004
s6,s18,19.2166594391429,1.681457700925004
s18,s10,5.366563145999496,0.4695742752749559
s10,s18,5.366563145999496,0.4695742752749559
s18,s17,23.213789005675054,2.0312065379965674
s17,s18,23.213789005675054,2.0312065379965674
s19,s3,18.555861607589122,1.6236378906640483
s3,s19,18.555861607589122,1.6236378906640483
s19,s6,8.836288813749809,0.7731752712031084
s6,s19,8.836288813749809,0.7731752712031084
s19,s10,16.19876538505327,1.4173919711921612
s10,s19,16.19876538505327,1.4173919711921612
s19,s11,8.616263691415206,0.7539230729988305
s11,s19,8.616263691415206,0.7539230729988305
s19,s18,21.54065922853802,1.8848076824970765
s18,s19,21.54065922853802,1.8848076824970765
s20,s1,9.329523031752482,0.8163332652783422
s1,s20,9.329523031752482,0.8163332652783422
s20,s7,16.876018487783192,1.4766516176810294
s7,s20,16.876018487783192,1.4766516176810294
s20,s12,23.86629422428208,2.088300744624682
s12,s20,23.86629422428208,2.088300744624682
s20,s13,22.655683613610076,1.9823723161908817
